,Director,Count,Average Rating,Country
7,Alfred Hitchcock,12,8,UK
19,Steven Spielberg,4,7.7,US
78,James Whale,3,7.8,UK
91,Sam Raimi,3,7.2,US
21,Roman Polanski,3,8,Other
0,Orson Welles,2,8.2,US
17,Francis Ford Coppola,2,8.4,US
79,Robert Eggers,2,7.2,US
84,George A. Romero,2,7.9,US
1,Rian Johnson,2,7.6,US
70,Peter Yates,2,7.4,UK
61,Nicolas Roeg,2,7,UK
58,Robert Aldrich,2,7.8,US
42,F.W. Murnau,2,8,Other
33,Tod Browning,2,7.7,US
28,Henri-Georges Clouzot,2,8.1,Other
81,Ari Aster,2,7.2,US
12,Leigh Whannell,2,7.6,Other
2,Jordan Peele,2,7.2,US
14,Otto Preminger,2,8,Other
4,Martin Scorsese,2,8,US
10,Denis Villeneuve,2,7.8,Other
