,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
0,Citizen Kane,https://www.rottentomatoes.com//m/citizen_kane,1941,Drama,English,1h 59m,Orson Welles,8.3,426496,"When a reporter is assigned to decipher newspaper magnate Charles Foster Kane's (Orson Welles) dying words, his investigation gradually reveals the fascinating portrait of a complex man who rose from obscurity to staggering heights. Though Kane's friend and colleague Jedediah Leland (Joseph Cotten), and his mistress, Susan Alexander (Dorothy Comingore), shed fragments of light on Kane's life, the reporter fears he may never penetrate the mystery of the elusive man's final word, ""Rosebud.""","Orson Welles's epic tale of a publishing tycoon's rise and fall is entertaining, poignant, and inventive in its storytelling, earning its reputation as a landmark achievement in film.",Drama,Before 1950s
1,Knives Out,https://www.rottentomatoes.com//m/knives_out,2019,"Crime, Comedy, Drama, Mystery & thriller",English,2h 10m,Rian Johnson,7.9,556775,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.",Knives Out sharpens old murder-mystery tropes with a keenly assembled suspense outing that makes brilliant use of writer-director Rian Johnson's stellar ensemble.,Crime,2011-2020
2,Us,https://www.rottentomatoes.com//m/us_2019,2019,"Horror, Mystery & thriller",English,1h 56m,Jordan Peele,6.8,263549,"Accompanied by her husband, son and daughter, Adelaide Wilson returns to the beachfront home where she grew up as a child. Haunted by a traumatic experience from the past, Adelaide grows increasingly concerned that something bad is going to happen. Her worst fears soon become a reality when four masked strangers descend upon the house, forcing the Wilsons into a fight for survival. When the masks come off, the family is horrified to learn that each attacker takes the appearance of one of them.","With Jordan Peele's second inventive, ambitious horror film, we have seen how to beat the sophomore jinx, and it is Us.",Horror,2011-2020
3,Mission: Impossible - Fallout,https://www.rottentomatoes.com//m/mission_impossible_fallout,2018,"Action, Mystery & thriller, Adventure",English,2h 27m,Christopher McQuarrie,7.7,312036,"Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions. Arms dealer John Lark and a group of terrorists known as the Apostles plan to use three plutonium cores for a simultaneous nuclear attack on the Vatican, Jerusalem and Mecca, Saudi Arabia. When the weapons go missing, Ethan and his crew find themselves in a desperate race against time to prevent them from falling into the wrong hands.","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",Action,2011-2020
4,Get Out,https://www.rottentomatoes.com//m/get_out,2017,"Horror, Comedy, Mystery & thriller",English,1h 44m,Jordan Peele,7.7,541085,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries leads him to a truth that he never could have imagined.","Funny, scary, and thought-provoking, Get Out seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.",Horror,2011-2020
5,The Irishman,https://www.rottentomatoes.com//m/the_irishman,2019,"Crime, Drama",English,3h 29m,Martin Scorsese,7.8,358335,"In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs the ranks to become a top hit man, he also goes to work for Jimmy Hoffa -- a powerful Teamster tied to organized crime.","An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.",Crime,2011-2020
6,The Cabinet of Dr. Caligari,https://www.rottentomatoes.com//m/the_cabinet_of_dr_caligari,1920,"Fantasy, Mystery & thriller, Horror",German,1h 9m,Robert Wiene,8.1,61229,"At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner Krauss). The men see Caligari showing off his somnambulist, Cesare (Conrad Veidt), a hypnotized man who the doctor claims can see into the future. Shockingly, Cesare then predicts Alan's death, and by morning his chilling prophecy has come true -- making Cesare the prime suspect. However, is Cesare guilty, or is the doctor controlling him?","Arguably the first true horror film, The Cabinet of Dr. Caligari set a brilliantly high bar for the genre -- and remains terrifying nearly a century after it first stalked the screen.",Fantasy,Before 1950s
7,A Quiet Place,https://www.rottentomatoes.com//m/a_quiet_place_2018,2018,"Horror, Mystery & thriller",English,1h 30m,John Krasinski,7.5,489668,"If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by sound. Knowing that even the slightest whisper or footstep can bring death, Evelyn and Lee are determined to find a way to protect their children while desperately searching for a way to fight back.",A Quiet Place artfully plays on elemental fears with a ruthlessly intelligent creature feature that's as original as it is scary -- and establishes director John Krasinski as a rising talent.,Horror,2011-2020
8,Rebecca,https://www.rottentomatoes.com//m/1017293-rebecca,1940,Mystery & thriller,English,2h 10m,Alfred Hitchcock,8.1,132430,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter (Laurence Olivier). She must also deal with the jealous, obsessed Mrs. Danvers (Judith Anderson), the housekeeper, who will not accept her as the mistress of the house.","Hitchcock's first American film (and his only Best Picture winner), Rebecca is a masterpiece of haunting atmosphere, Gothic thrills, and gripping suspense.",Mystery & thriller,Before 1950s
9,Spotlight,https://www.rottentomatoes.com//m/spotlight_2015,2015,Drama,English,2h 8m,Tom McCarthy,8.1,448129,"In 2001, editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan, an unfrocked priest accused of molesting more than 80 boys. Led by editor Walter ""Robby"" Robinson (Michael Keaton), reporters Michael Rezendes (Mark Ruffalo), Matt Carroll and Sacha Pfeiffer interview victims and try to unseal sensitive documents. The reporters make it their mission to provide proof of a cover-up of sexual abuse within the Roman Catholic Church.","Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",Drama,2011-2020
10,The Third Man,https://www.rottentomatoes.com//m/the_third_man,1949,Mystery & thriller,English,1h 44m,Carol Reed,8.1,166747,"Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime (Orson Welles), only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry??s death, running into interference from British officer Maj. Calloway (Trevor Howard) and falling head-over-heels for Harry??s grief-stricken lover, Anna (Alida Valli).","This atmospheric thriller is one of the undisputed masterpieces of cinema, and boasts iconic performances from Joseph Cotten and Orson Welles.",Mystery & thriller,Before 1950s
11,Rear Window,https://www.rottentomatoes.com//m/1017289-rear_window,1954,Mystery & thriller,English,1h 52m,Alfred Hitchcock,8.5,470770,"A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what he believes to be a murder, and decides to solve the crime himself. With the help of his nurse and wife, he tries to catch the murderer without being killed himself.",Hitchcock exerted full potential of suspense in this masterpiece.,Mystery & thriller,1951-1960
12,Arrival,https://www.rottentomatoes.com//m/arrival_2016,2016,"Drama, Mystery & thriller, Sci-fi",English,1h 56m,Denis Villeneuve,7.9,650986,"Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.",Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,Drama,2011-2020
